shortname,question_title,type,page,place
ide.main,<strong>What is the main editor you use for your current Python development?</strong>,RADIO,10,1
ide.editor,"<strong>What editors/IDEs do you use for Python development in addition to [question('value'), id='298']?​​​​</strong>",CHECKBOX,11,1
python.years,"<b id=""docs-internal-guid-1e26e216-7fff-c8c2-3231-9e8cede80bbf"">How long have you been programming in Python?</b>",RADIO,3,1
country.live,"<strong>What country or region do you live in?</strong>
<div id=""gtx-trans"" style=""position: absolute; left: 106px; top: -20px;"">
<div class=""gtx-trans-icon""> </div>
</div>",MENU,18,2
issue.report,<strong>Have you tried reporting your issues?</strong>,CHECKBOX,13,4
issue.solved,<strong>Was your issue solved?</strong>,RADIO,13,5
communicate.channels,<strong>Which channels do you prefer for communicating with the core developers? </strong>,CHECKBOX,13,6
dev.in.residence,<strong>What do you think about the new Developer-in-Residence role? </strong>,RADIO,13,7
environments.isolate,<strong>Which of the following tools do you use to isolate Python environments between projects?</strong>,CHECKBOX,14,2
environments.container,<strong>Do you use a virtual environment (e.g. virtualenv) in containers (e.g. Docker)? </strong>,RADIO,14,3
venv,<strong>Do you use the standard library (Python 3.3+) module venv?</strong>,CHECKBOX,14,4
packaging.tools,<strong>Which tools related to Python packaging do you use directly? </strong>,CHECKBOX,14,5
dependency.version,<strong>Do you use any tools for managing precise/exact versions (version pinning) of application dependencies?</strong>,RADIO,14,6
dependency.store,<strong>What format(s) is your application dependency information stored in?</strong>,CHECKBOX,14,7
dependency.tools,<strong>Which of the following tools do you use for application dependency management?</strong>,CHECKBOX,14,8
dependency.update,<strong>Do you use any of the following automated services to update the versions of application dependencies?</strong>,CHECKBOX,14,9
packages.install,<strong>Which of the following tools do you use for installing packages?</strong>,CHECKBOX,14,10
packages.install.from,<strong>Where do you install packages from? </strong>,CHECKBOX,14,11
app.do,<strong>Do you develop applications?</strong>,RADIO,15,1
app.tools,<strong>Which tool(s) do you use to develop Python applications?</strong>,CHECKBOX,15,2
app.publish,<strong>Have you packaged and published a Python application that you developed to a package repository?</strong>,RADIO,15,3
app.publish.where,<strong>Where did you publish your Python application packages?</strong>,CHECKBOX,15,4
libraries.do,<strong>Do you develop and package Python libraries?</strong>,RADIO,15,5
libraries.tools,<strong>Which tools do you use to create packages of your Python libraries? </strong>,CHECKBOX,15,6
libraries.publish,<strong>Have you packaged and published a Python library to a package repository? </strong>,RADIO,15,7
libraries.publish.where,<strong>Where have you published your packaged Python libraries?</strong>,CHECKBOX,15,8
documentation.tool,<strong>What documentation tool do you use? </strong>,CHECKBOX,9,6
how.involved.fixed,To what extent are you involved in the following activities?,Fiction,,
